FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
01001,Autauga County,Alabama,74.7,84.1,72.9,16.8,39.3,30.0,14.4,37.0,7.2,18.4,12.4,17.1,22.2,12.3,40.7,80.9,6.7,3.4,3.2,10.1,7.6,12.1,77.5,63.2
01003,Baldwin County,Alabama,75.2,85.1,74.2,14.5,37.4,29.4,15.3,33.9,8.4,17.0,12.3,15.7,22.0,12.6,39.2,82.4,7.4,3.5,3.4,9.7,8.1,9.5,75.9,66.3
01005,Barbour County,Alabama,71.8,81.2,71.7,24.2,43.3,41.7,12.0,42.7,7.3,29.1,17.1,19.3,22.0,18.4,48.8,82.4,9.3,5.3,4.4,11.3,11.4,21.3,78.6,48.2
01007,Bibb County,Alabama,71.0,81.8,71.9,21.9,39.9,37.0,14.4,39.5,7.0,23.2,14.9,18.7,22.9,14.1,42.8,80.3,7.7,4.0,3.5,10.3,9.7,16.1,74.1,53.7
01009,Blount County,Alabama,69.2,82.5,72.2,19.0,37.9,31.8,14.3,36.4,7.9,20.2,14.0,17.6,23.3,12.8,40.3,80.9,7.9,3.7,3.5,10.0,9.2,14.0,75.2,59.0
01011,Bullock County,Alabama,75.1,82.5,72.3,25.5,49.2,44.9,11.5,45.5,6.5,32.3,17.7,19.6,19.7,21.3,52.7,82.7,9.3,5.9,4.7,11.6,11.1,22.6,79.6,45.3
01013,Butler County,Alabama,75.1,83.3,73.2,20.1,41.6,38.4,12.1,39.4,7.9,25.6,15.5,18.2,20.3,17.3,48.1,83.7,8.7,4.9,4.3,11.0,10.0,15.9,79.9,55.2
01015,Calhoun County,Alabama,72.4,81.7,71.9,20.0,38.7,35.1,13.0,37.1,7.5,22.1,14.5,18.1,22.7,14.1,42.4,81.3,7.7,3.9,3.6,10.6,9.4,14.1,77.2,55.6
01017,Chambers County,Alabama,73.0,82.9,74.1,19.5,44.0,36.8,12.2,42.2,7.7,24.1,15.1,18.0,21.9,16.5,46.5,83.4,8.3,4.6,4.1,10.9,9.6,15.7,79.8,57.3
01019,Cherokee County,Alabama,71.2,81.9,73.4,20.9,38.0,35.3,13.3,36.7,8.9,23.5,15.7,17.9,24.7,15.1,45.0,84.0,9.5,4.5,4.0,10.4,11.3,14.7,76.8,56.4
01021,Chilton County,Alabama,69.4,81.1,72.2,21.3,42.6,35.4,14.3,40.1,7.5,22.1,14.6,18.7,23.6,13.7,41.9,81.2,7.9,3.9,3.5,10.3,9.7,15.9,74.8,55.5
01023,Choctaw County,Alabama,74.4,83.1,73.2,20.9,44.7,39.9,11.3,41.5,8.4,27.3,16.7,18.2,21.5,19.3,51.0,85.1,9.8,5.5,4.7,11.2,11.3,17.1,80.5,55.0
01025,Clarke County,Alabama,76.2,83.2,73.0,20.4,43.1,40.2,11.5,39.4,7.8,25.9,15.9,18.2,21.0,17.6,47.7,84.0,8.8,5.0,4.3,11.2,10.3,17.1,79.8,54.9
01027,Clay County,Alabama,71.4,81.7,71.3,20.2,41.7,37.2,13.0,37.4,8.4,23.7,15.6,18.1,24.3,15.3,44.7,83.0,9.0,4.5,4.0,10.6,10.7,16.0,77.2,56.4
01029,Cleburne County,Alabama,70.9,82.0,72.7,20.0,36.4,34.1,13.9,35.9,8.2,21.8,15.0,18.3,24.7,13.8,41.7,82.2,8.5,4.0,3.7,10.3,10.3,14.9,76.6,59.6
01031,Coffee County,Alabama,71.1,83.5,74.3,18.1,39.7,31.6,14.1,39.2,7.3,20.6,13.6,17.9,23.4,13.2,40.4,80.6,7.3,3.7,3.5,10.3,8.3,12.7,77.9,60.0
01033,Colbert County,Alabama,72.2,83.0,73.5,18.5,39.4,33.0,13.9,36.1,8.0,20.5,13.9,17.6,23.1,13.5,42.2,81.8,7.8,3.9,3.6,10.3,9.0,13.5,77.4,58.0
01035,Conecuh County,Alabama,74.1,82.4,73.1,21.0,44.9,40.3,11.2,41.3,8.4,27.5,16.6,17.8,21.6,19.4,50.4,85.1,9.8,5.5,4.6,11.1,10.9,18.4,80.7,51.8
01037,Coosa County,Alabama,74.4,83.2,74.1,18.9,39.3,36.0,12.5,39.9,8.6,23.2,15.0,16.7,21.2,16.4,46.9,84.5,9.0,4.7,4.2,10.2,9.9,15.5,79.4,57.9
